rating,reviewer_name,reviewer_name_normalized,review_text,review_text_normalized,review_date,review_date_normalized,variant,variant_normalized,rating_filter,scraped_at
3,Aditiawarman,Aditiawarman,"barang masih segel, produk ori. cuman kemasannya apakah itu packingan dari huawei, atau di bongkar sama ekspedisi, packingnya penyok, rusak dan ada indikasi dibongkar dan...",barang masih segel produk ori cuman kemasannya apakah itu packingan dari huawei atau di bongkar sama ekspedisi packingnya penyok rusak dan ada indikasi dibongkar dan,8 bulan lalu,8 bulan lalu,Violet + EWS,Violet EWS,3,2025-07-15 20:10:07
3,Bharata,Bharata,Ada Baik nya Huawei official Store perbaiki cara paking yg Baik pake fragile stiker dan customer milih pengiriman reguler pake pesawat bukan dipindah kan ke trucking jg l...,ada baik nya huawei official store perbaiki cara paking yg baik pake fragile stiker dan customer milih pengiriman reguler pake pesawat bukan dipindah kan ke trucking jg l,11 bulan lalu,11 bulan lalu,Space Grey,Space Grey,3,2025-07-15 20:10:07
3,Kevin,Kevin,Packing masih kurang untuk barang yang harganya lumayan mahal. Kualitas produk mantap. Jauh lebih baik daripada iPad pro keluaran 2023 dan ke bawah. Kualitas gambar jerni...,packing masih kurang untuk barang yang harganya lumayan mahal kualitas produk mantap jauh lebih baik daripada ipad pro keluaran dan ke bawah kualitas gambar jerni,9 bulan lalu,9 bulan lalu,Space Grey,Space Grey,3,2025-07-15 20:10:07
3,Ratno,Ratno,Biar toko dan tokopedia tau. Gini loh kualitas jasa bag pengiriman barang. (ongkir dibayar loh bukan gratis). Kasihan toko nya jika mesti retur dll. Urus komplain bs 1 bu...,biar toko dan tokopedia tau gini loh kualitas jasa bag pengiriman barang ongkir dibayar loh bukan gratis kasihan toko nya jika mesti retur dll urus komplain bs bu,12 bulan lalu,12 bulan lalu,Grey+Proteksi,Grey Proteksi,3,2025-07-15 20:10:07
3,Heri,Heri,"Pengemasan Wajib lebih Safety lagi, Sekelas HUAWEI Official Store, packing barang harga 8juta udah seperti packing barang harga 50ribu, Sangat rentan saat pengiriman, dus...",pengemasan wajib lebih safety lagi sekelas huawei official store packing barang harga 8juta udah seperti packing barang harga 50ribu sangat rentan saat pengiriman dus,Lebih dari 1 tahun lalu,Lebih dari 1 tahun lalu,Space Grey,Space Grey,3,2025-07-15 20:10:07
3,a***l,a l,"kurir rekomendasi tapi tdk di rekomendasikan. kecewa dgn kurir dan penjualnya. beli 2 barang di hari dan waktu yg hampir sama, tp pake 2 kurir beda. barang yg di bawah ku...",kurir rekomendasi tapi tdk di rekomendasikan kecewa dgn kurir dan penjualnya beli barang di hari dan waktu yg hampir sama tp pake kurir beda barang yg di bawah ku,12 bulan lalu,12 bulan lalu,Grey+Proteksi,Grey Proteksi,3,2025-07-15 20:10:07
3,F***r,F r,"Barang hilang, dihilangin kurir, hindari penggunaan SiCepat, kualitas minus, maaf gak 5 bintang karena toko juga kurang baik dalam menangani komplain customer. Selain itu...",barang hilang dihilangin kurir hindari penggunaan sicepat kualitas minus maaf gak bintang karena toko juga kurang baik dalam menangani komplain customer selain itu,11 bulan lalu,11 bulan lalu,Grey+Proteksi,Grey Proteksi,3,2025-07-15 20:10:07
3,G***y,G y,"packagingnya parah amat, dri pihak kurir klaim kalo packagingnya udh terbuka untungnya udh di klarifikasi lewat video sm kurirnya klo barangnya aman dan lengkap tolong di...",packagingnya parah amat dri pihak kurir klaim kalo packagingnya udh terbuka untungnya udh di klarifikasi lewat video sm kurirnya klo barangnya aman dan lengkap tolong di,Lebih dari 1 tahun lalu,Lebih dari 1 tahun lalu,Spcae Grey+EWS,Spcae Grey EWS,3,2025-07-15 20:10:07
3,Anggara,Anggara,"Plus - gambar tajem - build quality sesuai harganya, bagus - bonus pencil & detachable keyboard - packing lumayan aman - cocok bagi designer, yg suka gambar , tablet...",plus gambar tajem build quality sesuai harganya bagus bonus pencil detachable keyboard packing lumayan aman cocok bagi designer yg suka gambar tablet,9 bulan lalu,9 bulan lalu,Space Grey,Space Grey,3,2025-07-15 20:10:07
3,v***n,v n,packing luarnya sembarangan... kurang profesional.,packing luarnya sembarangan kurang profesional,11 bulan lalu,11 bulan lalu,Space Grey,Space Grey,3,2025-07-15 20:10:18
3,Vincent,Vincent,,,10 bulan lalu,10 bulan lalu,Spcae Grey+EWS,Spcae Grey EWS,3,2025-07-15 20:10:18
3,P***I,P I,,,Lebih dari 1 tahun lalu,Lebih dari 1 tahun lalu,Violet+Proteksi,Violet Proteksi,3,2025-07-15 20:10:18
3,A***C,A C,.,,8 bulan lalu,8 bulan lalu,Spcae Grey+EWS,Spcae Grey EWS,3,2025-07-15 20:10:18
4,Budhi,Budhi,"Barang masih segel, tetapi kotak pengiriman penyok parah sehingga kena kotak barang jd ikut penyok. Semoga isinya aman",barang masih segel tetapi kotak pengiriman penyok parah sehingga kena kotak barang jd ikut penyok semoga isinya aman,Lebih dari 1 tahun lalu,Lebih dari 1 tahun lalu,Spcae Grey+EWS,Spcae Grey EWS,4,2025-07-15 20:10:50
4,f***h,f h,pengiriman lama kerdusnya ga berbentuk tapi aman barang oke original asli no kw kw,pengiriman lama kerdusnya ga berbentuk tapi aman barang oke original asli no kw kw,12 bulan lalu,12 bulan lalu,Violet,Violet,4,2025-07-15 20:10:50
4,Bung,Bung,"kondisi barang saat sampai sangat lengkap, baik, dan aman. cuman waktu PO nya aja agak lama, tapi syukurnya saya pilih pengiriman yg tepat, barang sampai dengan cepat akh...",kondisi barang saat sampai sangat lengkap baik dan aman cuman waktu po nya aja agak lama tapi syukurnya saya pilih pengiriman yg tepat barang sampai dengan cepat akh,Lebih dari 1 tahun lalu,Lebih dari 1 tahun lalu,Spcae Grey+EWS,Spcae Grey EWS,4,2025-07-15 20:10:50
4,R***d,R d,"Barang bagus, packaging jelek. Dus barang didalamnya sdkt penyok, untungnya dus bawaan huawei tebal. Mohon utk penjual memperhatikan nya apalagi ini toko official",barang bagus packaging jelek dus barang didalamnya sdkt penyok untungnya dus bawaan huawei tebal mohon utk penjual memperhatikan nya apalagi ini toko official,Lebih dari 1 tahun lalu,Lebih dari 1 tahun lalu,Grey+Proteksi,Grey Proteksi,4,2025-07-15 20:10:50
4,i***n,i n,"Produk gaada masalah, bagus.. Cuma ngacoo banget packingnya cok, kardus tipis, jeleeek, gak niat packing Packing harga jutaan kalah sm barang 200rb an",produk gaada masalah bagus cuma ngacoo banget packingnya cok kardus tipis jeleeek gak niat packing packing harga jutaan kalah sm barang 200rb an,Lebih dari 1 tahun lalu,Lebih dari 1 tahun lalu,Spcae Grey+EWS,Spcae Grey EWS,4,2025-07-15 20:10:50
4,A***D,A D,"luar biasa tidak aman packing barangnya, luarbiasa juga kurirnya sicepat yg super lambat dan sampai paketnya sepenyok ini, sampai segelnya terbuka. untung barang di dalam...",luar biasa tidak aman packing barangnya luarbiasa juga kurirnya sicepat yg super lambat dan sampai paketnya sepenyok ini sampai segelnya terbuka untung barang di dalam,Lebih dari 1 tahun lalu,Lebih dari 1 tahun lalu,Grey+Proteksi,Grey Proteksi,4,2025-07-15 20:10:50
4,F***i,F i,"Barang datang lebih cepat dari yang seharusnya namun kondisi kardus terbuka, lakban dan sticker tidak lengket sempurna sangat berbahaya apalagi ada tulisan huaweinya",barang datang lebih cepat dari yang seharusnya namun kondisi kardus terbuka lakban dan sticker tidak lengket sempurna sangat berbahaya apalagi ada tulisan huaweinya,Lebih dari 1 tahun lalu,Lebih dari 1 tahun lalu,Violet+Proteksi,Violet Proteksi,4,2025-07-15 20:10:50
4,S***o,S o,"Saya kecewa dengan packing yang tidak rapat dan rapi. Saat paket saya terima, kondisinya bungkus luarnya rusak. bungkus luar yg rusak pasti membuat kawatir kondisi barang...",saya kecewa dengan packing yang tidak rapat dan rapi saat paket saya terima kondisinya bungkus luarnya rusak bungkus luar yg rusak pasti membuat kawatir kondisi barang,12 bulan lalu,12 bulan lalu,Space Grey,Space Grey,4,2025-07-15 20:10:50
4,l***e,l e,"barang bagus, oke. tapi untuk packing barang mohon diperhatikan kembali. sekelas huawei & official store menurut saya kurang sekali untuk pengemasan barangnya. semoga...",barang bagus oke tapi untuk packing barang mohon diperhatikan kembali sekelas huawei official store menurut saya kurang sekali untuk pengemasan barangnya semoga,11 bulan lalu,11 bulan lalu,Violet+Proteksi,Violet Proteksi,4,2025-07-15 20:10:50
4,A***d,A d,barang ori dan bonusnya mantap.. enak dipakai dan smooth.. layar lembut di mata dan speakernya mantab.. sayang utk hrg segitu kameranya hrsnya bs lbh baik lg.. kondisi ag...,barang ori dan bonusnya mantap enak dipakai dan smooth layar lembut di mata dan speakernya mantab sayang utk hrg segitu kameranya hrsnya bs lbh baik lg kondisi ag,Lebih dari 1 tahun lalu,Lebih dari 1 tahun lalu,Violet+Proteksi,Violet Proteksi,4,2025-07-15 20:10:50
4,M***r,M r,"Permasalahan emang dipackingan kurang aman, kalau mau beli laptop sedikit ragu",permasalahan emang dipackingan kurang aman kalau mau beli laptop sedikit ragu,12 bulan lalu,12 bulan lalu,Violet,Violet,4,2025-07-15 20:11:01
4,I***n,I n,Barang sudah sampai. tapi dus nya sudah bolong2 ya. ngeri2 sedap euy packing nya.. tp kondisi kelengkapan kumplit dan tidak ada kendala.,barang sudah sampai tapi dus nya sudah bolong2 ya ngeri2 sedap euy packing nya tp kondisi kelengkapan kumplit dan tidak ada kendala,11 bulan lalu,11 bulan lalu,Space Grey,Space Grey,4,2025-07-15 20:11:01
4,Azmi,Azmi,packing mohon untuk lebih safety lagi,packing mohon untuk lebih safety lagi,Lebih dari 1 tahun lalu,Lebih dari 1 tahun lalu,Grey+Proteksi,Grey Proteksi,4,2025-07-15 20:11:01
4,H***o,H o,Dus nya tipis amat. Sampai disini udah penyok dan robek. Sampai box tablet nga juga ikutan penyok. Tolong lah sekelas official store huawei koq kualitas packing sampai s...,dus nya tipis amat sampai disini udah penyok dan robek sampai box tablet nga juga ikutan penyok tolong lah sekelas official store huawei koq kualitas packing sampai s,Lebih dari 1 tahun lalu,Lebih dari 1 tahun lalu,Grey+Proteksi,Grey Proteksi,4,2025-07-15 20:11:01
4,R***t,R t,"Barang sudah sampai dengan aman, hanya saja ternyata tidak termasuk Pen. Kalo mau beli pen dijual terpisah, dan tidak dicantumkan di deskripsi.",barang sudah sampai dengan aman hanya saja ternyata tidak termasuk pen kalo mau beli pen dijual terpisah dan tidak dicantumkan di deskripsi,10 bulan lalu,10 bulan lalu,Violet,Violet,4,2025-07-15 20:11:01
5,Dimas,Dimas,"Barang sesuai pesanan, dapat bonus Mpencil dan keyboard sesuai di foto, pengiriman cepat, berfungsi dengan baik, desain keren dan fitur sangat keren, tab terbaik dengan h...",barang sesuai pesanan dapat bonus mpencil dan keyboard sesuai di foto pengiriman cepat berfungsi dengan baik desain keren dan fitur sangat keren tab terbaik dengan h,9 bulan lalu,9 bulan lalu,Violet,Violet,5,2025-07-15 20:11:22
5,H***y,H y,"barang original, berfungsi baik, lengkap, pengiriman sesuai. mate tidak ada pantulan cahaya, namun paperlike feelnya agak kurang terasa",barang original berfungsi baik lengkap pengiriman sesuai mate tidak ada pantulan cahaya namun paperlike feelnya agak kurang terasa,9 bulan lalu,9 bulan lalu,Space Grey,Space Grey,5,2025-07-15 20:11:22
